iter	RMSE
0	288.2044732
1	277.5792967
2	267.6230799
3	257.6602801
4	247.4514532
5	238.0864693
6	229.9603838
7	221.9223181
8	214.1412403
9	207.3896364
10	200.2779006
11	193.5392289
12	187.0659251
13	181.438783
14	175.6856797
15	171.2925732
16	166.1974053
17	161.3098507
18	156.5925463
19	152.0412095
20	148.1739292
21	143.671795
22	140.2641937
23	136.6798104
24	132.7189078
25	128.9546528
26	125.6173663
27	122.6892732
28	119.7950875
29	117.4673586
30	114.652226
31	112.0714883
32	109.6216131
33	107.1862407
34	104.6916399
35	102.5202882
36	100.0610829
37	98.05558507
38	96.03285163
39	94.55530446
40	92.62765629
41	90.49079307
42	88.67671946
43	86.98519443
44	85.41843788
45	83.88561511
46	82.64703592
47	81.16040697
48	79.53624805
49	78.30063884
50	76.81844577
51	75.77969323
52	74.56631346
53	73.33743233
54	72.21447944
55	71.31962643
56	70.23200137
57	69.11243123
58	68.08895417
59	67.12442196
60	66.27181124
61	65.27056696
62	64.22308298
63	63.42801537
64	62.45587554
65	61.68634458
66	60.91899894
67	60.27134161
68	59.62767688
69	58.91395408
70	58.30741006
71	57.51927736
72	56.815074
73	56.26963857
74	55.64735787
75	55.08331643
76	54.38507292
77	53.79637165
78	53.31617968
79	52.86368407
80	52.40850363
81	51.75638739
82	51.3639813
83	50.89362733
84	50.54977558
85	49.9539943
86	49.59054101
87	49.08291936
88	48.67702034
89	48.26674161
90	47.86485715
91	47.52310831
92	47.14763426
93	46.67279429
94	46.33245197
95	45.97728532
96	45.66269328
97	45.25247933
98	44.94108415
99	44.62691489
100	44.32152583
101	44.01025418
102	43.71396653
103	43.43344968
104	43.15861471
105	42.8689362
106	42.57885851
107	42.33920616
108	42.1054324
109	41.80584021
110	41.42410951
111	41.25783111
112	40.9508191
113	40.74247526
114	40.52646855
115	40.34665783
116	40.19013572
117	39.87808517
118	39.62096655
119	39.42002729
120	39.26162961
121	38.98052549
122	38.66715795
123	38.45722675
124	38.30159213
125	38.09394194
126	37.72057175
127	37.40219013
128	37.22163339
129	36.94306807
130	36.82178207
131	36.63130878
132	36.46778178
133	36.35430891
134	36.23343949
135	35.9493108
136	35.683227
137	35.54979114
138	35.2586364
139	35.14724423
140	35.07885109
141	34.79973596
142	34.58634594
143	34.37564078
144	34.12484169
145	34.03630013
146	33.99345108
147	33.75681728
148	33.68775101
149	33.47372026
150	33.41887756
151	33.35509623
152	33.15132086
153	32.89925245
154	32.74006226
155	32.56388111
156	32.35957702
157	32.31400365
158	32.06862436
159	32.03941881
160	31.85878724
161	31.67797015
162	31.53633685
163	31.42007345
164	31.20762509
165	31.06433804
166	31.01784572
167	30.93531526
168	30.75412693
169	30.59400469
170	30.46309
171	30.28716832
172	30.11810518
173	29.94796528
174	29.92438463
175	29.82069433
176	29.7867477
177	29.65250477
178	29.59551511
179	29.46110353
180	29.26968624
181	29.23376316
182	29.11037408
183	28.96682223
184	28.94640226
185	28.78345041
186	28.5541664
187	28.41691832
188	28.38334148
189	28.2272659
190	28.04628149
191	27.95751535
192	27.83487509
193	27.73089462
194	27.60479429
195	27.53693687
196	27.38041686
197	27.23986188
198	27.10084833
199	27.02191903
200	26.92933343
201	26.86208021
202	26.78052289
203	26.75228279
204	26.73464412
205	26.58926829
206	26.51281196
207	26.39646424
208	26.28366998
209	26.12766365
210	26.10713088
211	26.08803116
212	26.03250414
213	25.93388289
214	25.89191122
215	25.81738345
216	25.70803626
217	25.56427062
218	25.41888496
219	25.37345927
