iter	Passed	Remaining
0	0	79
1	0	70
2	1	74
3	1	72
4	1	70
5	1	69
6	2	68
7	2	67
8	2	67
9	3	66
10	3	66
11	3	66
12	4	65
13	4	64
14	4	64
15	4	63
16	5	63
17	5	63
18	5	62
19	6	62
20	6	62
21	7	64
22	7	66
23	8	66
24	8	65
25	8	65
26	9	64
27	9	67
28	10	68
29	10	67
30	11	67
31	11	66
32	11	65
33	11	65
34	12	64
35	12	64
36	12	63
37	13	62
38	13	62
39	13	61
40	14	61
41	14	60
42	14	60
43	15	60
44	15	60
45	15	59
46	16	59
47	16	58
48	16	58
49	17	57
50	17	57
51	17	56
52	17	56
53	18	55
54	18	55
55	18	55
56	19	54
57	19	54
58	19	53
59	19	53
60	20	52
61	20	52
62	20	52
63	21	51
64	21	51
65	21	50
66	22	50
67	22	50
68	22	50
69	23	49
70	23	49
71	24	49
72	24	49
73	24	48
74	25	48
75	25	47
76	25	47
77	25	47
78	26	46
79	26	46
80	26	46
81	27	45
82	27	45
83	27	44
84	27	44
85	28	44
86	28	43
87	28	43
88	29	43
89	29	42
90	29	42
91	30	42
92	30	41
93	30	41
94	31	40
95	31	40
96	31	40
97	32	39
98	32	39
99	32	39
100	32	38
101	33	38
102	33	38
103	33	37
104	34	37
105	34	37
106	34	36
107	35	36
108	35	36
109	35	35
110	36	35
111	36	35
112	36	34
113	36	34
114	37	33
115	37	33
116	37	33
117	38	32
118	38	32
119	38	32
120	39	32
121	39	31
122	39	31
123	40	31
124	40	30
125	40	30
126	41	30
127	41	29
128	41	29
129	42	29
130	42	28
131	42	28
132	42	28
133	43	27
134	43	27
135	43	27
136	44	26
137	44	26
138	44	26
139	45	25
140	45	25
141	45	25
142	46	24
143	46	24
144	46	24
145	47	23
146	47	23
147	47	23
148	47	22
149	48	22
150	48	22
151	49	21
152	49	21
153	49	21
154	49	20
155	50	20
156	50	20
157	50	19
158	51	19
159	51	19
160	51	18
161	52	18
162	52	18
163	52	18
164	53	17
165	53	17
166	53	17
167	54	16
168	54	16
169	54	16
170	55	15
171	55	15
172	55	15
173	56	14
174	56	14
175	56	14
176	57	13
177	57	13
178	57	13
179	57	12
180	58	12
181	58	12
182	58	11
183	59	11
184	59	11
185	59	10
186	60	10
187	60	10
188	60	9
189	61	9
190	62	9
191	63	9
192	63	8
193	63	8
194	64	8
195	64	7
196	64	7
197	64	7
198	65	6
199	65	6
200	66	6
201	66	5
202	66	5
203	66	5
204	67	4
205	67	4
206	68	4
207	68	3
208	68	3
209	69	3
210	69	2
211	69	2
212	70	2
213	70	1
214	70	1
215	71	1
216	71	0
217	71	0
218	72	0
219	72	0
